BJD, RV, err_RV
2454341.50370622, -9915.981, 1.353
2454341.58430538, -9989.594, 1.238
2454341.55360039, -9938.198, 1.224
2454341.59189772, -9972.776, 1.254
2454341.59960580, -9975.596, 1.249
2454341.56123903, -9963.156, 1.234
2454341.56893553, -9984.049, 1.243
2454341.60336725, -9977.084, 1.247
2454341.54590389, -9917.258, 1.226
2454341.62290363, -9988.482, 1.534
2454341.52691147, -9914.296, 1.312
2454341.62707016, -9991.185, 1.521
2454341.60711712, -9978.562, 1.263
2454341.50753711, -9920.168, 1.346
2454341.49610231, -9913.042, 1.316
2454341.57660888, -9997.804, 1.246
2454341.49231771, -9910.831, 1.370
2454341.54214244, -9908.092, 1.225
2454341.61117949, -9980.882, 1.335
2454341.64602786, -9999.050, 1.394
2454341.53826526, -9901.971, 1.234
2454341.63831978, -9995.039, 1.456
2454341.58803211, -9978.434, 1.225
2454341.64997448, -10001.856, 1.390
2454341.51901821, -9924.166, 1.335
2454341.54980422, -9926.345, 1.235
2454341.53059190, -9906.773, 1.233
2454341.53442279, -9901.181, 1.231
2454341.63079688, -9993.777, 1.440
2454341.51141430, -9920.321, 1.350
2454341.49982904, -9913.642, 1.340
2454341.57281271, -9992.279, 1.236
2454341.63466250, -9995.365, 1.490
2454341.56506992, -9974.301, 1.248
2454341.64238214, -9999.095, 1.439
2454341.51525676, -9924.175, 1.327
2454341.52296484, -9923.161, 1.333
2454341.55739656, -9949.798, 1.230
2454341.59562445, -9972.569, 1.292
2454341.58035876, -9996.580, 1.238
